50,100,50,100,75,75,
50,100,150,200,75,175,
50,100,250,300,75,275,
50,100,350,400,75,375,
50,100,450,500,75,475,
50,100,550,600,75,575,
150,200,50,100,175,75,
150,200,150,200,175,175,
150,200,250,300,175,275,
150,200,350,400,175,375,
150,200,450,500,175,475,
150,200,550,600,175,575,
250,300,50,100,275,75,
250,300,150,200,275,175,
250,300,250,300,275,275,
250,300,350,400,275,375,
250,300,450,500,275,475,
250,300,550,600,275,575,
350,400,50,100,375,75,
350,400,150,200,375,175,
350,400,250,300,375,275,
350,400,350,400,375,375,
350,400,450,500,375,475,
350,400,550,600,375,575,
450,500,50,100,475,75,
450,500,150,200,475,175,
450,500,250,300,475,275,
450,500,350,400,475,375,
450,500,450,500,475,475,
450,500,550,600,475,575,
550,600,50,100,575,75,
550,600,150,200,575,175,
550,600,250,300,575,275,
550,600,350,400,575,375,
550,600,450,500,575,475,
550,600,550,600,575,575,
650,700,50,100,675,75,
650,700,150,200,675,175,
650,700,250,300,675,275,
650,700,350,400,675,375,
650,700,450,500,675,475,
650,700,550,600,675,575,
750,800,50,100,775,75,
750,800,150,200,775,175,
750,800,250,300,775,275,
750,800,350,400,775,375,
750,800,450,500,775,475,
750,800,550,600,775,575,
850,900,50,100,875,75,
850,900,150,200,875,175,
850,900,250,300,875,275,
850,900,350,400,875,375,
850,900,450,500,875,475,
850,900,550,600,875,575,
950,1000,50,100,975,75,
950,1000,150,200,975,175,
950,1000,250,300,975,275,
950,1000,350,400,975,375,
950,1000,450,500,975,475,
950,1000,550,600,975,575,
